DATA;ANO;MÊS;MUNICÍPIO;PONTO;COLIFORMES;CLASSE
09/12/10;2010;DEZ;NA;NA01;23;E
16/12/10;2010;DEZ;NA;NA01;17;E
23/12/10;2010;DEZ;NA;NA01;540;E
30/12/10;2010;DEZ;NA;NA01;170;E
07/01/10;2010;JAN;NA;NA02;49;E
14/01/10;2010;JAN;NA;NA02;350;B
21/01/10;2010;JAN;NA;NA02;2;E
28/01/10;2010;JAN;NA;NA02;350;B
04/02/10;2010;FEV;NA;NA02;2400;B
11/02/10;2010;FEV;NA;NA02;540;S
18/02/10;2010;FEV;NA;NA02;33;S
25/02/10;2010;FEV;NA;NA02;13;S
04/03/10;2010;MAR;NA;NA02;8;S
11/03/10;2010;MAR;NA;NA02;2400;S
18/03/10;2010;MAR;NA;NA02;220;E
25/03/10;2010;MAR;NA;NA02;23;E
31/03/10;2010;MAR;NA;NA02;600;S
08/04/10;2010;ABR;NA;NA02;540;S
15/04/10;2010;ABR;NA;NA02;920;S
22/04/10;2010;ABR;NA;NA02;220;S
29/04/10;2010;ABR;NA;NA02;49;S
06/05/10;2010;MAI;NA;NA02;110;S
13/05/10;2010;MAI;NA;NA02;170;E
20/05/10;2010;MAI;NA;NA02;11;E
27/05/10;2010;MAI;NA;NA02;350;E
02/06/10;2010;JUN;NA;NA02;13;E
10/06/10;2010;JUN;NA;NA02;130;E
17/06/10;2010;JUN;NA;NA02;1600;B
24/06/10;2010;JUN;NA;NA02;7;B
01/07/10;2010;JUL;NA;NA02;49;E
08/07/10;2010;JUL;NA;NA02;1600;I
15/07/10;2010;JUL;NA;NA02;49;I
22/07/10;2010;JUL;NA;NA02;540;S
29/07/10;2010;JUL;NA;NA02;13;S
05/08/10;2010;AGO;NA;NA02;11;S
12/08/10;2010;AGO;NA;NA02;70;E
19/08/10;2010;AGO;NA;NA02;33;E
26/08/10;2010;AGO;NA;NA02;33;E
02/09/10;2010;SET;NA;NA02;17;E
09/09/10;2010;SET;NA;NA02;79;E
16/09/10;2010;SET;NA;NA02;11;E
23/09/10;2010;SET;NA;NA02;4;E
30/09/10;2010;SET;NA;NA02;5;E
07/10/10;2010;OUT;NA;NA02;130;E
14/10/10;2010;OUT;NA;NA02;27;E
21/10/10;2010;OUT;NA;NA02;23;E
28/10/10;2010;OUT;NA;NA02;2;E
04/11/10;2010;NOV;NA;NA02;23;E
11/11/10;2010;NOV;NA;NA02;2;E
18/11/10;2010;NOV;NA;NA02;2;E
25/11/10;2010;NOV;NA;NA02;17;E
02/12/10;2010;DEZ;NA;NA02;13;E
09/12/10;2010;DEZ;NA;NA02;2;E
16/12/10;2010;DEZ;NA;NA02;33;E
23/12/10;2010;DEZ;NA;NA02;540;E
30/12/10;2010;DEZ;NA;NA02;49;E
07/01/10;2010;JAN;NA;NA03;22;E
14/01/10;2010;JAN;NA;NA03;540;E
21/01/10;2010;JAN;NA;NA03;240;E
28/01/10;2010;JAN;NA;NA03;110;E
04/02/10;2010;FEV;NA;NA03;11;E
11/02/10;2010;FEV;NA;NA03;920;S
18/02/10;2010;FEV;NA;NA03;33;E
25/02/10;2010;FEV;NA;NA03;94;E
04/03/10;2010;MAR;NA;NA03;17;E
11/03/10;2010;MAR;NA;NA03;2400;S
18/03/10;2010;MAR;NA;NA03;140;E
25/03/10;2010;MAR;NA;NA03;17;E
31/03/10;2010;MAR;NA;NA03;34;E
08/04/10;2010;ABR;NA;NA03;17;E
15/04/10;2010;ABR;NA;NA03;240;E
22/04/10;2010;ABR;NA;NA03;7;E
29/04/10;2010;ABR;NA;NA03;33;E
06/05/10;2010;MAI;NA;NA03;79;E
13/05/10;2010;MAI;NA;NA03;350;E
20/05/10;2010;MAI;NA;NA03;4;E
27/05/10;2010;MAI;NA;NA03;170;E
02/06/10;2010;JUN;NA;NA03;2;E
10/06/10;2010;JUN;NA;NA03;49;E
17/06/10;2010;JUN;NA;NA03;1600;E
24/06/10;2010;JUN;NA;NA03;49;E
